,drama_filtro,anio_capitulos
70," Empleada del hotel, Ling Ling Qi es una chica amable y sincera que siempre está feliz de tender una mano a los demás, pero también tiene baja autoestima, lo que ha impactado gravemente su vida, haciéndola incapaz de hacer su mejor esfuerzo en el trabajo y cumplir su sueños. Ella ... ", 0 
71,Legend of the Phoenix,41
72," Histórico, Romance ",2019
73," Ambientada en la dinastía de Liang del Este, la troupe del artista de circo Ye Ning Zhi ingresa al palacio y presenta una actuación para celebrar el cumpleaños de la emperatriz viuda. La ambiciosa gran princesa (hermana del emperador) decide causar travesuras al encarcelarla por tr... ", 40 
74,Perfume,17
75," Comedia, Fantasía, Romance ",2019
76," Seo Yi Do es un diseñador superior. Aunque parece ser el hombre perfecto en el exterior, su personalidad deja algo que desear. Además de eso, tiene alrededor de 52 fobias y 35 alergias. Min Jae Hee es una ama de casa de mediana edad, que ha dedicado su vida a su familia solo para ... ", 35 
77,Remember – War of the Son,20
78," Crimen, Drama, Intriga, Investigación, Legal, Melodrama, Tragédia ",2015
79," Seo Jin Woo tiene la condición de hyperthymesia que le permite recordar casi todos los días con todo detalle. Para demostrar la inocencia de su padre, Jin Woo se convierte en abogado. Se esfuerza por demostrar la inocencia de su padre, pero comienza a perder su memoria debido a la e... ", 60 
80,Youth,26
81," Amistad, Recuentos de la vida, Romance, Comedia, Drama ",2018
82, La historia describe las vidas y los amores de cinco estudiantes universitarias que comparten una misma casa juntas.... , 0 
83,Memory Love,18
84," Romance, Drama ",2017
85," ¿Se puede salvar una vida y dos corazones? Qiao Jia En y su novio, Wang Xiu Kai, regresan a Taiwán desde el extranjero para reunirse con su padre rico y distante. Pero cuando la pareja se mete en un accidente de coche, Jia En sufre una conmoción cerebral y pérdida de memoria, mien... ", 0 
86,The Last Empress,27
87," Drama, Romance, Suspenso ",2018
88," Este drama se trata de una actriz de teatro musical que se casó con el Emperador, y que encuentra amor y felicidad verdaderos a través de luchar contra el poder absoluto de la Familia Real.... ", 0 
